State,Year,Quarter,Reg_name,Reg_users,App_opening
jharkhand,2020,3,garhwa district,112486,3145878
jharkhand,2020,3,saraikela kharsawan district,150480,3088081
jharkhand,2020,3,gumla district,46938,854422
jharkhand,2020,3,chatra district,86445,2422661
jharkhand,2020,3,khunti district,28530,538438
jharkhand,2020,3,dhanbad district,564484,11502948
jharkhand,2020,3,godda district,98410,2166338
jharkhand,2020,3,deoghar district,238221,4346879
jharkhand,2020,3,palamu district,204809,5512618
jharkhand,2020,3,latehar district,54768,1507817
jharkhand,2020,3,west singhbhum district,98640,1895347
jharkhand,2020,3,pakur district,44056,835095
